Tag,Chromophore,Solvent,abs,emi,epsilon,fast_epsilon
0,O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=CN2C=C1,CS(=O)C,355.0,427.0,46.71,2.187
1,O=C(OC)C1=CC2=NC(C3=CC=C(C=C3)OC)=C(N2C=C1)N,CS(=O)C,426.0,520.0,46.71,2.187
2,O=C(C1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1)OC,CS(=O)C,387.0,528.0,46.71,2.187
3,COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C(C(OC)=O)=CC=C4)C4=N2,CS(=O)C,355.0,627.0,46.71,2.187
4,COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC=N4)C4=N2,CS(=O)C,365.0,560.0,46.71,2.187
5,COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,CS(=O)C,355.0,491.0,46.71,2.187
6,COC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC=C4)C4=N2,CS(=O)C,350.0,490.0,46.71,2.187
7,OCC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,CS(=O)C,341.0,495.0,46.71,2.187
8,ClC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,CS(=O)C,357.0,518.0,46.71,2.187
9,N#CC1=CC2=NC(C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1,CS(=O)C,389.0,525.0,46.71,2.187
10,CCCCCCC1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1,CS(=O)C,368.0,516.0,46.71,2.187
11,CCCCCCCCC1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1,CS(=O)C,368.0,516.0,46.71,2.187
12,CCCCCCCCC1=C(NC2CCCCC2)N(C=CN=C3)C3=N1,CS(=O)C,329.0,485.0,46.71,2.187
13,BrC1=CC=C(C=C1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,CS(=O)C,388.0,524.0,46.71,2.187
