Tag,Chromophore,Solvent,epsilon,Absorption max (nm),Emission max (nm),Reference
4,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,36.0,514.0,553.72,https://doi.org/10.1016/j.snb.2018.10.043
6,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,2.02,350.0,395.0,DOI: 10.1021/j100248a024
8,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,36.0,367.0,430.0,DOI: 10.1021/j100248a024
11,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,2.02,376.0,433.0,DOI: 10.1021/j100248a024
13,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,36.0,396.0,501.0,DOI: 10.1021/j100248a024
16,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,2.02,361.0,407.0,DOI: 10.1021/j100248a024
17,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,36.0,380.0,450.0,DOI: 10.1021/j100248a024
20,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,2.02,393.0,455.0,DOI: 10.1021/j100248a024
22,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,36.0,418.0,521.0,DOI: 10.1021/j100248a024
25,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,2.02,382.0,439.0,DOI: 10.1021/j100248a024
26,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,36.0,405.0,510.0,DOI: 10.1021/j100248a024
28,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,36.0,365.0,465.0,DOI: 10.1021/j100248a024
29,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,36.0,454.0,501.0,DOI: 10.1021/j100248a024
30,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,36.0,403.0,480.0,DOI: 10.1021/j100248a024
31,CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,36.0,354.0,420.0,DOI: 10.1021/j100248a024
32,CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,36.0,383.0,481.0,DOI: 10.1021/j100248a024
81,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CC(C)O,20.33,529.0,551.0,doi/10.1021/ja00455a017
82,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,20.33,532.0,557.0,doi/10.1021/ja00455a017
83,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,20.33,561.0,576.0,doi/10.1021/ja00455a017
84,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,C1CCCCC1,2.02,342.0,401.0,doi/10.1021/bi00581a025
86,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCN(CC)CC,2.45,343.0,406.0,doi/10.1021/bi00581a025
98,c1ccc2ccccc2c1,C1CCCCC1,2.02,286.0,324.0,https://doi.org/10.3390/molecules17055108
99,C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,2.02,294.0,328.0,https://doi.org/10.3390/molecules17055108
100,C[SiH](C)c1cccc2ccccc12,C1CCCCC1,2.02,294.0,328.0,https://doi.org/10.3390/molecules17055108
101,CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,2.02,294.0,329.0,https://doi.org/10.3390/molecules17055108
102,CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,2.02,295.0,329.0,https://doi.org/10.3390/molecules17055108
103,CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,2.02,294.0,329.0,https://doi.org/10.3390/molecules17055108
104,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,2.02,300.0,333.0,https://doi.org/10.3390/molecules17055108
105,C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,2.02,300.0,333.0,https://doi.org/10.3390/molecules17055108
106,CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,2.02,302.0,335.0,https://doi.org/10.3390/molecules17055108
107,COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,2.02,312.0,327.0,https://doi.org/10.3390/molecules17055108
108,C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,2.02,315.0,333.0,https://doi.org/10.3390/molecules17055108
109,C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,2.02,311.0,333.0,https://doi.org/10.3390/molecules17055108
110,C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,2.02,316.0,336.0,https://doi.org/10.3390/molecules17055108
111,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,2.02,347.0,352.0,https://doi.org/10.3390/molecules17055108
117,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,1.89,489.0,560.0,https://doi.org/10.1016/j.dyepig.2018.02.016
119,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,2.27,506.0,591.0,https://doi.org/10.1016/j.dyepig.2018.02.016
